                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 1.3287,                0.99082,                0.92062,                0.74266,                 0.7318,                0.73449,                0.33721,                 2.7174,                 1.0737,                  2.403,             0.00010919,             0.00010919,             0.00010919
                     49,                 1.3259,                 1.0033,                0.92062,                 0.7365,                0.72913,                0.73696,                0.33944,                 2.7244,                 1.0593,                 2.4096,               0.000103,               0.000103,               0.000103
                     50,                 1.3482,                 1.0027,                0.91594,                0.73503,                0.72903,                0.73273,                  0.348,                 2.7292,                  1.055,                 2.4086,             9.6813e-05,             9.6813e-05,             9.6813e-05
                     51,                 1.2996,                0.98809,                0.91145,                0.72633,                0.71466,                0.73069,                0.34143,                 2.7279,                 1.0759,                 2.4219,             9.0625e-05,             9.0625e-05,             9.0625e-05
                     52,                 1.3463,                0.98947,                0.92014,                0.71058,                 0.7139,                0.72375,                0.34344,                 2.7409,                 1.0812,                 2.4549,             8.4437e-05,             8.4437e-05,             8.4437e-05
                     53,                 1.3008,                 1.0015,                0.90713,                0.71475,                0.72193,                0.72302,                0.34256,                 2.7692,                 1.0714,                 2.4981,              7.825e-05,              7.825e-05,              7.825e-05
                     54,                 1.3014,                0.96162,                0.91041,                0.72267,                0.73243,                 0.7316,                0.34275,                 2.7675,                 1.0654,                 2.4987,             7.2063e-05,             7.2063e-05,             7.2063e-05
                     55,                 1.3125,                0.97065,                0.89414,                0.71765,                0.71303,                0.72953,                0.34414,                  2.749,                 1.0693,                 2.4685,             6.5875e-05,             6.5875e-05,             6.5875e-05
                     56,                 1.3092,                0.96843,                0.90972,                0.71699,                0.71953,                0.72701,                0.34004,                 2.7472,                 1.1134,                 2.4695,             5.9688e-05,             5.9688e-05,             5.9688e-05
                     57,                 1.3003,                0.93941,                  0.915,                0.71396,                0.71849,                0.72612,                0.33884,                 2.7256,                 1.0829,                 2.4733,               5.35e-05,               5.35e-05,               5.35e-05
                     58,                 1.2962,                0.94863,                0.91824,                0.73285,                0.70176,                0.72563,                0.34176,                 2.7032,                 1.0874,                  2.472,             4.7312e-05,             4.7312e-05,             4.7312e-05
                     59,                 1.2904,                0.94394,                0.90732,                0.73289,                0.70295,                0.72546,                0.34371,                 2.7308,                 1.0548,                 2.5093,             4.1125e-05,             4.1125e-05,             4.1125e-05
                     60,                 1.3045,                0.92678,                0.90678,                0.71183,                0.71951,                0.72845,                0.34136,                 2.7331,                 1.0435,                 2.5061,             3.4938e-05,             3.4938e-05,             3.4938e-05
                     61,                  1.296,                0.97089,                 0.9014,                0.71149,                 0.7236,                 0.7278,                0.34358,                 2.7438,                 1.0475,                 2.5048,              2.875e-05,              2.875e-05,              2.875e-05
                     62,                 1.2933,                 0.9544,                 0.9113,                0.71146,                0.72446,                 0.7269,                0.34258,                 2.7492,                 1.0536,                  2.502,             2.2562e-05,             2.2562e-05,             2.2562e-05
                     63,                 1.2865,                0.95412,                0.90483,                0.71208,                0.72426,                0.72585,                0.34186,                 2.7434,                 1.0591,                 2.4886,             1.6375e-05,             1.6375e-05,             1.6375e-05
                     64,                 1.2899,                0.95474,                0.90314,                 0.7127,                0.72409,                0.72557,                0.34089,                 2.7357,                 1.0453,                 2.4938,             1.0188e-05,             1.0188e-05,             1.0188e-05
